,clf,max_depth,max_features_sporf,sporf_fc,budget,max_features_sk,loss
0,sporf,127,2.2937654223862785,8.0,18.51851851851852,,0.0976671850699844
1,sporf,33,1.3653491414049614,1.0,55.55555555555555,,0.09020217729393465
2,sporf,33,1.3653491414049614,1.0,55.55555555555555,,0.08926905132192842
3,skrf,2947,,,18.51851851851852,0.20010686371330197,0.09611197511664071
4,sporf,34,1.637379464042327,4.0,166.66666666666666,,0.09331259720062213
5,sporf,34,1.637379464042327,4.0,166.66666666666666,,0.08429237947122858
6,sporf,34,1.637379464042327,4.0,166.66666666666666,,0.08615863141524105
7,sporf,4,3.037401904749016,2.5,18.51851851851852,,0.12690513219284605
8,skrf,2,,,18.51851851851852,0.5235743974640473,0.3632970451010886
9,sporf,263,2.3742886397947625,4.0,18.51851851851852,,0.09611197511664071
10,sporf,7828,1.9322152922360982,1.0,55.55555555555555,,0.09424572317262836
11,sporf,7828,1.9322152922360982,1.0,55.55555555555555,,0.08926905132192842
12,skrf,4641,,,18.51851851851852,0.8793995703295061,0.09860031104199063
13,skrf,7,,,18.51851851851852,0.28907689316439705,0.11010886469673409
14,skrf,17,,,18.51851851851852,0.0639707795410595,0.09922239502332819
15,sporf,962,1.7858432469259304,3.0,18.51851851851852,,0.09704510108864695
16,skrf,116,,,55.55555555555555,0.20011776715959,0.09300155520995335
17,skrf,116,,,55.55555555555555,0.20011776715959,0.08740279937791606
18,sporf,675,0.363540319377272,3.0,18.51851851851852,,0.09611197511664071
19,skrf,1787,,,18.51851851851852,0.20033364868551573,0.09953343701399686
20,sporf,100,1.9943908155534,3.0,166.66666666666666,,0.0923794712286159
21,sporf,100,1.9943908155534,3.0,166.66666666666666,,0.08522550544323482
22,sporf,100,1.9943908155534,3.0,166.66666666666666,,0.08646967340590983
23,skrf,1424,,,18.51851851851852,0.20013373001441379,0.09548989113530326
24,sporf,13,1.4884014576992899,8.0,18.51851851851852,,0.09922239502332819
25,sporf,9,1.4029525037400115,2.5,18.51851851851852,,0.10202177293934678
26,skrf,22,,,18.51851851851852,0.49377077197696084,0.09860031104199063
